bn:00051760n	location#n#1
bn:10298179n	bn:10298179n
bn:10421397n	bn:10421397n
bn:14204715n	bn:14204715n
bn:14978776n	bn:14978776n
bn:16282860n	bn:16282860n
bn:16894184n	bn:16894184n
bn:17360047n	bn:17360047n
bn:00000058n	bn:00000058n
bn:00004271n	bn:00004271n
bn:00005803n	bn:00005803n
bn:00008057n	bn:00008057n
bn:00010532n	bn:00010532n
bn:00013504n	bn:00013504n
bn:00013642n	bn:00013642n
bn:00017691n	bn:00017691n
bn:00021704n	bn:00021704n
bn:00028863n	bn:00028863n
bn:00031608n	bn:00031608n
bn:00043500n	bn:00043500n
bn:00044268n	bn:00044268n
bn:00044576n	bn:00044576n
bn:00045876n	bn:00045876n
bn:00046317n	bn:00046317n
bn:00046630n	bn:00046630n
bn:00049578n	bn:00049578n
bn:00050954n	bn:00050954n
bn:00055772n	bn:00055772n
bn:00056068n	bn:00056068n
bn:00060708n	bn:00060708n
bn:00062475n	bn:00062475n
bn:00063502n	bn:00063502n
bn:00067519n	bn:00067519n
bn:00067622n	bn:00067622n
bn:00076374n	bn:00076374n
bn:00622366n	bn:00622366n
bn:00810354n	bn:00810354n
bn:00810436n	bn:00810436n
bn:00971978n	bn:00971978n
bn:01156247n	bn:01156247n
bn:01158694n	bn:01158694n
bn:01207367n	bn:01207367n
bn:01442459n	bn:01442459n
bn:01468502n	bn:01468502n
bn:01546545n	bn:01546545n
bn:01547280n	bn:01547280n
bn:01578973n	bn:01578973n
bn:01841838n	bn:01841838n
bn:02330687n	bn:02330687n
bn:02372151n	bn:02372151n
bn:02815143n	bn:02815143n
bn:02821271n	bn:02821271n
bn:02821609n	bn:02821609n
bn:02821712n	bn:02821712n
bn:02825335n	bn:02825335n
bn:03346789n	bn:03346789n
bn:03522696n	bn:03522696n
bn:03528254n	bn:03528254n
bn:07118419n	bn:07118419n
bn:07120890n	bn:07120890n
bn:07123999n	bn:07123999n
bn:07129901n	bn:07129901n
bn:07130454n	bn:07130454n
bn:07130531n	bn:07130531n
bn:12479836n	bn:12479836n
bn:14482464n	bn:14482464n
bn:14601351n	bn:14601351n
bn:14810544n	bn:14810544n
bn:16033811n	bn:16033811n
bn:16448100n	bn:16448100n
bn:16952592n	bn:16952592n
bn:17381239n	bn:17381239n
bn:00000060n	bn:00000060n
bn:00000061n	bn:00000061n
bn:00013193n	bn:00013193n
bn:00022049n	bn:00022049n
bn:00030119n	bn:00030119n
bn:00032363n	bn:00032363n
bn:00033919n	bn:00033919n
bn:00040810n	bn:00040810n
bn:00044631n	bn:00044631n
bn:00049322n	bn:00049322n
bn:00050940n	bn:00050940n
bn:00053303n	bn:00053303n
bn:00078270n	bn:00078270n
bn:00768255n	bn:00768255n
bn:01274892n	bn:01274892n
bn:01611354n	bn:01611354n
bn:02408826n	bn:02408826n
bn:02847825n	bn:02847825n
bn:02851791n	bn:02851791n
bn:02906794n	bn:02906794n
bn:03462805n	bn:03462805n
bn:04253264n	bn:04253264n
bn:05770245n	bn:05770245n
bn:06989357n	bn:06989357n
bn:07003660n	bn:07003660n
bn:07011457n	bn:07011457n
bn:07013886n	bn:07013886n
bn:07014095n	bn:07014095n
bn:07015454n	bn:07015454n
bn:07016790n	bn:07016790n
bn:07016893n	bn:07016893n
bn:07017004n	bn:07017004n
bn:07018005n	bn:07018005n
bn:07018263n	bn:07018263n
bn:08967479n	bn:08967479n
bn:12783930n	bn:12783930n
bn:15193233n	bn:15193233n
bn:15500166n	bn:15500166n
bn:15630375n	bn:15630375n
bn:16090880n	bn:16090880n
bn:16882307n	bn:16882307n
bn:16924938n	bn:16924938n
bn:17174279n	bn:17174279n
bn:17265956n	bn:17265956n
bn:18196165n	bn:18196165n
bn:00000571n	bn:00000571n
bn:00019478n	bn:00019478n
bn:00021192n	bn:00021192n
bn:00023901n	bn:00023901n
bn:00037606n	bn:00037606n
bn:00046576n	bn:00046576n
bn:00048723n	bn:00048723n
bn:00068836n	bn:00068836n
bn:00070671n	bn:00070671n
bn:00076602n	bn:00076602n
bn:00136671n	bn:00136671n
bn:00149457n	bn:00149457n
bn:00152288n	bn:00152288n
bn:00634163n	bn:00634163n
bn:00916234n	bn:00916234n
bn:01049178n	bn:01049178n
bn:01623981n	bn:01623981n
bn:01821778n	bn:01821778n
bn:01873018n	bn:01873018n
bn:02221382n	bn:02221382n
bn:02404396n	bn:02404396n
bn:02479533n	bn:02479533n
bn:02516481n	bn:02516481n
bn:02717394n	bn:02717394n
bn:02732222n	bn:02732222n
bn:02769368n	bn:02769368n
bn:03180284n	bn:03180284n
bn:03186647n	bn:03186647n
bn:03229461n	bn:03229461n
bn:03262180n	bn:03262180n
bn:03269122n	bn:03269122n
bn:03378573n	bn:03378573n
bn:03401167n	bn:03401167n
bn:03409859n	bn:03409859n
bn:03585043n	bn:03585043n
bn:03633908n	bn:03633908n
bn:03654783n	bn:03654783n
bn:03741926n	bn:03741926n
bn:03810857n	bn:03810857n
bn:03832333n	bn:03832333n
bn:08732633n	bn:08732633n
bn:08750088n	bn:08750088n
bn:08772691n	bn:08772691n
bn:14156170n	bn:14156170n
bn:14798747n	bn:14798747n
bn:15960114n	bn:15960114n
bn:16289177n	bn:16289177n
bn:16660995n	bn:16660995n
bn:16861428n	bn:16861428n
bn:17047151n	bn:17047151n
bn:00000445n	bn:00000445n
bn:00001231n	bn:00001231n
bn:00001575n	bn:00001575n
bn:00002868n	bn:00002868n
bn:00004037n	bn:00004037n
bn:00004584n	bn:00004584n
bn:00005399n	bn:00005399n
bn:00006167n	bn:00006167n
bn:00007164n	bn:00007164n
bn:00007951n	bn:00007951n
bn:00008421n	bn:00008421n
bn:00009160n	bn:00009160n
bn:00009164n	bn:00009164n
bn:00009166n	bn:00009166n
bn:00009175n	bn:00009175n
bn:00011224n	bn:00011224n
bn:00011235n	bn:00011235n
bn:00012248n	bn:00012248n
bn:00012394n	bn:00012394n
bn:00012516n	bn:00012516n
bn:00015602n	bn:00015602n
bn:00015907n	bn:00015907n
bn:00015950n	bn:00015950n
bn:00015961n	bn:00015961n
bn:00017841n	bn:00017841n
bn:00020564n	bn:00020564n
bn:00021974n	bn:00021974n
bn:00022109n	bn:00022109n
bn:00023237n	bn:00023237n
bn:00023258n	bn:00023258n
bn:00023810n	bn:00023810n
bn:00023815n	bn:00023815n
bn:00024990n	bn:00024990n
bn:00025105n	bn:00025105n
bn:00025576n	bn:00025576n
bn:00026520n	bn:00026520n
bn:00027546n	bn:00027546n
bn:00027843n	bn:00027843n
bn:00028441n	bn:00028441n
bn:00029069n	bn:00029069n
bn:00029670n	bn:00029670n
bn:00029687n	bn:00029687n
bn:00029909n	bn:00029909n
bn:00030113n	bn:00030113n
bn:00030546n	bn:00030546n
bn:00033885n	bn:00033885n
bn:00035412n	bn:00035412n
bn:00036129n	bn:00036129n
bn:00037507n	bn:00037507n
bn:00040403n	bn:00040403n
bn:00040576n	bn:00040576n
bn:00040910n	bn:00040910n
bn:00041165n	bn:00041165n
bn:00041741n	bn:00041741n
bn:00041984n	bn:00041984n
bn:00044331n	bn:00044331n
bn:00044461n	bn:00044461n
bn:00046729n	bn:00046729n
bn:00048756n	bn:00048756n
bn:00049774n	bn:00049774n
bn:00050411n	bn:00050411n
bn:00051039n	bn:00051039n
bn:00051608n	bn:00051608n
bn:00052101n	bn:00052101n
bn:00052704n	bn:00052704n
bn:00053359n	bn:00053359n
bn:00053576n	bn:00053576n
bn:00054016n	bn:00054016n
bn:00054907n	bn:00054907n
bn:00055680n	bn:00055680n
bn:00056682n	bn:00056682n
bn:00056879n	bn:00056879n
bn:00056947n	bn:00056947n
bn:00056989n	bn:00056989n
bn:00057458n	bn:00057458n
bn:00059960n	bn:00059960n
bn:00060562n	bn:00060562n
bn:00060834n	bn:00060834n
bn:00061196n	bn:00061196n
bn:00062158n	bn:00062158n
bn:00063161n	bn:00063161n
bn:00063198n	bn:00063198n
bn:00064240n	bn:00064240n
bn:00064659n	bn:00064659n
bn:00068619n	bn:00068619n
bn:00068866n	bn:00068866n
bn:00069035n	bn:00069035n
bn:00069271n	bn:00069271n
bn:00069743n	bn:00069743n
bn:00070118n	bn:00070118n
bn:00070148n	bn:00070148n
bn:00070213n	bn:00070213n
bn:00071136n	bn:00071136n
bn:00072287n	bn:00072287n
bn:00072531n	bn:00072531n
bn:00074528n	bn:00074528n
bn:00075416n	bn:00075416n
bn:00076373n	bn:00076373n
bn:00077323n	bn:00077323n
bn:00079892n	bn:00079892n
bn:00079960n	bn:00079960n
bn:00118957n	bn:00118957n
bn:00125738n	bn:00125738n
bn:00126784n	bn:00126784n
bn:00128974n	bn:00128974n
bn:00130445n	bn:00130445n
bn:00133370n	bn:00133370n
bn:00152383n	bn:00152383n
bn:00153210n	bn:00153210n
bn:00182257n	bn:00182257n
bn:00189209n	bn:00189209n
bn:00196295n	bn:00196295n
bn:00213727n	bn:00213727n
bn:00228104n	bn:00228104n
bn:00230946n	bn:00230946n
bn:00258551n	bn:00258551n
bn:00263665n	bn:00263665n
bn:00263672n	bn:00263672n
bn:00264225n	bn:00264225n
bn:00266554n	bn:00266554n
bn:00266558n	bn:00266558n
bn:00266570n	bn:00266570n
bn:00266590n	bn:00266590n
bn:00266609n	bn:00266609n
bn:00266612n	bn:00266612n
bn:00266620n	bn:00266620n
bn:00266644n	bn:00266644n
bn:00266661n	bn:00266661n
bn:00288153n	bn:00288153n
bn:00309455n	bn:00309455n
bn:00322295n	bn:00322295n
bn:00330927n	bn:00330927n
bn:00343422n	bn:00343422n
bn:00346949n	bn:00346949n
bn:00348078n	bn:00348078n
bn:00355175n	bn:00355175n
bn:00358505n	bn:00358505n
bn:00358612n	bn:00358612n
bn:00362978n	bn:00362978n
bn:00365619n	bn:00365619n
bn:00365655n	bn:00365655n
bn:00399524n	bn:00399524n
bn:00411127n	bn:00411127n
bn:00427430n	bn:00427430n
bn:00445193n	bn:00445193n
bn:00480082n	bn:00480082n
bn:00495931n	bn:00495931n
bn:00496782n	bn:00496782n
bn:00498882n	bn:00498882n
bn:00525870n	bn:00525870n
bn:00527111n	bn:00527111n
bn:00531153n	bn:00531153n
bn:00536368n	bn:00536368n
bn:00538633n	bn:00538633n
bn:00539932n	bn:00539932n
bn:00547194n	bn:00547194n
bn:00575896n	bn:00575896n
bn:00577813n	bn:00577813n
bn:00602369n	bn:00602369n
bn:00628890n	bn:00628890n
bn:00631170n	bn:00631170n
bn:00632065n	bn:00632065n
bn:00649657n	bn:00649657n
bn:00673628n	bn:00673628n
bn:00676034n	bn:00676034n
bn:00682724n	bn:00682724n
bn:00693349n	bn:00693349n
bn:00711331n	bn:00711331n
bn:00712794n	bn:00712794n
bn:00714595n	bn:00714595n
bn:00724894n	bn:00724894n
bn:00731875n	bn:00731875n
bn:00761033n	bn:00761033n
bn:00781771n	bn:00781771n
bn:00790909n	bn:00790909n
bn:00798116n	bn:00798116n
bn:00800981n	bn:00800981n
bn:00801666n	bn:00801666n
bn:00813963n	bn:00813963n
bn:00816826n	bn:00816826n
bn:00818997n	bn:00818997n
bn:00819002n	bn:00819002n
bn:00821455n	bn:00821455n
bn:00831901n	bn:00831901n
bn:00836479n	bn:00836479n
bn:00840342n	bn:00840342n
bn:00843983n	bn:00843983n
bn:00853754n	bn:00853754n
bn:00870268n	bn:00870268n
bn:00872571n	bn:00872571n
bn:00874777n	bn:00874777n
bn:00893663n	bn:00893663n
bn:00904377n	bn:00904377n
bn:00907823n	bn:00907823n
bn:00909844n	bn:00909844n
bn:00923100n	bn:00923100n
bn:00923843n	bn:00923843n
bn:00941587n	bn:00941587n
bn:00945501n	bn:00945501n
bn:00947519n	bn:00947519n
bn:00948128n	bn:00948128n
bn:00949762n	bn:00949762n
bn:00963512n	bn:00963512n
bn:00970465n	bn:00970465n
bn:00976244n	bn:00976244n
bn:00980858n	bn:00980858n
bn:00987000n	bn:00987000n
bn:00995928n	bn:00995928n
bn:01000488n	bn:01000488n
bn:01016039n	bn:01016039n
bn:01016728n	bn:01016728n
bn:01018512n	bn:01018512n
bn:01019252n	bn:01019252n
bn:01021165n	bn:01021165n
bn:01023493n	bn:01023493n
bn:01023526n	bn:01023526n
bn:01026656n	bn:01026656n
bn:01028325n	bn:01028325n
bn:01033225n	bn:01033225n
bn:01043814n	bn:01043814n
bn:01052445n	bn:01052445n
bn:01074366n	bn:01074366n
bn:01074645n	bn:01074645n
bn:01083236n	bn:01083236n
bn:01090344n	bn:01090344n
bn:01145325n	bn:01145325n
bn:01152298n	bn:01152298n
bn:01152806n	bn:01152806n
bn:01156654n	bn:01156654n
bn:01157225n	bn:01157225n
bn:01158508n	bn:01158508n
bn:01158593n	bn:01158593n
bn:01178993n	bn:01178993n
bn:01179406n	bn:01179406n
bn:01180383n	bn:01180383n
bn:01180573n	bn:01180573n
bn:01182306n	bn:01182306n
bn:01183312n	bn:01183312n
bn:01184372n	bn:01184372n
bn:01185171n	bn:01185171n
bn:01186307n	bn:01186307n
bn:01190220n	bn:01190220n
bn:01192444n	bn:01192444n
bn:01195979n	bn:01195979n
bn:01197056n	bn:01197056n
bn:01199053n	bn:01199053n
bn:01199801n	bn:01199801n
bn:01199818n	bn:01199818n
bn:01201246n	bn:01201246n
bn:01211005n	bn:01211005n
bn:01213531n	bn:01213531n
bn:01223831n	bn:01223831n
bn:01224625n	bn:01224625n
bn:01226625n	bn:01226625n
bn:01238733n	bn:01238733n
bn:01247524n	bn:01247524n
bn:01249730n	bn:01249730n
bn:01277084n	bn:01277084n
bn:01278444n	bn:01278444n
bn:01283369n	bn:01283369n
bn:01286908n	bn:01286908n
bn:01311217n	bn:01311217n
bn:01323685n	bn:01323685n
bn:01331149n	bn:01331149n
bn:01343561n	bn:01343561n
bn:01346195n	bn:01346195n
bn:01362815n	bn:01362815n
bn:01383691n	bn:01383691n
bn:01397641n	bn:01397641n
bn:01410222n	bn:01410222n
bn:01413160n	bn:01413160n
bn:01417794n	bn:01417794n
bn:01418870n	bn:01418870n
bn:01419851n	bn:01419851n
bn:01441422n	bn:01441422n
bn:01479870n	bn:01479870n
bn:01489069n	bn:01489069n
bn:01489092n	bn:01489092n
bn:01500985n	bn:01500985n
bn:01509892n	bn:01509892n
bn:01533533n	bn:01533533n
bn:01538689n	bn:01538689n
bn:01542379n	bn:01542379n
bn:01542641n	bn:01542641n
bn:01570777n	bn:01570777n
bn:01577523n	bn:01577523n
bn:01580382n	bn:01580382n
bn:01583198n	bn:01583198n
bn:01587997n	bn:01587997n
bn:01605891n	bn:01605891n
bn:01618889n	bn:01618889n
bn:01636595n	bn:01636595n
bn:01647982n	bn:01647982n
bn:01650833n	bn:01650833n
bn:01654325n	bn:01654325n
bn:01655552n	bn:01655552n
bn:01656850n	bn:01656850n
bn:01715106n	bn:01715106n
bn:01736648n	bn:01736648n
bn:01799215n	bn:01799215n
bn:01849812n	bn:01849812n
bn:01865978n	bn:01865978n
bn:01868484n	bn:01868484n
bn:01876032n	bn:01876032n
bn:01877210n	bn:01877210n
bn:01882658n	bn:01882658n
bn:01898811n	bn:01898811n
bn:01910104n	bn:01910104n
bn:01914045n	bn:01914045n
bn:01915129n	bn:01915129n
bn:01921446n	bn:01921446n
bn:01953792n	bn:01953792n
bn:01969026n	bn:01969026n
bn:01977861n	bn:01977861n
bn:01979196n	bn:01979196n
bn:01982185n	bn:01982185n
bn:02022392n	bn:02022392n
bn:02073434n	bn:02073434n
bn:02081635n	bn:02081635n
bn:02083154n	bn:02083154n
bn:02087132n	bn:02087132n
bn:02088030n	bn:02088030n
bn:02090192n	bn:02090192n
bn:02091306n	bn:02091306n
bn:02096973n	bn:02096973n
bn:02097461n	bn:02097461n
bn:02102356n	bn:02102356n
bn:02104448n	bn:02104448n
bn:02107048n	bn:02107048n
bn:02113601n	bn:02113601n
bn:02149474n	bn:02149474n
bn:02155518n	bn:02155518n
bn:02162148n	bn:02162148n
bn:02177760n	bn:02177760n
bn:02253894n	bn:02253894n
bn:02274622n	bn:02274622n
bn:02276950n	bn:02276950n
bn:02283403n	bn:02283403n
bn:02292851n	bn:02292851n
bn:02341494n	bn:02341494n
bn:02356640n	bn:02356640n
bn:02364665n	bn:02364665n
bn:02366040n	bn:02366040n
bn:02367697n	bn:02367697n
bn:02368565n	bn:02368565n
bn:02369391n	bn:02369391n
bn:02372393n	bn:02372393n
bn:02373390n	bn:02373390n
bn:02384848n	bn:02384848n
bn:02386946n	bn:02386946n
bn:02392428n	bn:02392428n
bn:02424106n	bn:02424106n
bn:02425615n	bn:02425615n
bn:02431030n	bn:02431030n
bn:02435380n	bn:02435380n
bn:02438044n	bn:02438044n
bn:02439268n	bn:02439268n
bn:02460423n	bn:02460423n
bn:02468880n	bn:02468880n
bn:02479459n	bn:02479459n
bn:02492733n	bn:02492733n
bn:02514109n	bn:02514109n
bn:02537535n	bn:02537535n
bn:02537636n	bn:02537636n
bn:02537888n	bn:02537888n
bn:02540163n	bn:02540163n
bn:02540352n	bn:02540352n
bn:02541165n	bn:02541165n
bn:02545818n	bn:02545818n
bn:02545993n	bn:02545993n
bn:02547485n	bn:02547485n
bn:02564941n	bn:02564941n
bn:02569899n	bn:02569899n
bn:02571315n	bn:02571315n
bn:02571985n	bn:02571985n
bn:02574104n	bn:02574104n
bn:02587257n	bn:02587257n
bn:02592107n	bn:02592107n
bn:02592764n	bn:02592764n
bn:02600252n	bn:02600252n
bn:02607041n	bn:02607041n
bn:02613242n	bn:02613242n
bn:02625159n	bn:02625159n
bn:02641507n	bn:02641507n
bn:02657676n	bn:02657676n
bn:02672135n	bn:02672135n
bn:02675798n	bn:02675798n
bn:02675984n	bn:02675984n
bn:02702060n	bn:02702060n
bn:02711149n	bn:02711149n
bn:02711648n	bn:02711648n
bn:02713448n	bn:02713448n
bn:02767048n	bn:02767048n
bn:02772773n	bn:02772773n
bn:02780960n	bn:02780960n
bn:02781642n	bn:02781642n
bn:02798656n	bn:02798656n
bn:02801734n	bn:02801734n
bn:02807237n	bn:02807237n
bn:02817391n	bn:02817391n
bn:02817519n	bn:02817519n
bn:02818473n	bn:02818473n
bn:02819862n	bn:02819862n
bn:02820819n	bn:02820819n
bn:02823162n	bn:02823162n
bn:02823393n	bn:02823393n
bn:02826140n	bn:02826140n
bn:02826243n	bn:02826243n
bn:02827655n	bn:02827655n
bn:02831713n	bn:02831713n
bn:02840881n	bn:02840881n
bn:02873520n	bn:02873520n
bn:02884903n	bn:02884903n
bn:02889136n	bn:02889136n
bn:02890541n	bn:02890541n
bn:02909297n	bn:02909297n
bn:02909646n	bn:02909646n
bn:02923981n	bn:02923981n
bn:02927570n	bn:02927570n
bn:02932480n	bn:02932480n
bn:02933089n	bn:02933089n
bn:02933258n	bn:02933258n
bn:02968101n	bn:02968101n
bn:02987501n	bn:02987501n
bn:02989120n	bn:02989120n
bn:03021006n	bn:03021006n
bn:03033234n	bn:03033234n
bn:03042567n	bn:03042567n
bn:03061495n	bn:03061495n
bn:03068652n	bn:03068652n
bn:03077017n	bn:03077017n
bn:03083146n	bn:03083146n
bn:03084174n	bn:03084174n
bn:03086546n	bn:03086546n
bn:03087280n	bn:03087280n
bn:03089281n	bn:03089281n
bn:03089519n	bn:03089519n
bn:03089597n	bn:03089597n
bn:03110317n	bn:03110317n
bn:03112369n	bn:03112369n
bn:03119200n	bn:03119200n
bn:03119626n	bn:03119626n
bn:03121753n	bn:03121753n
bn:03121771n	bn:03121771n
bn:03122046n	bn:03122046n
bn:03125961n	bn:03125961n
bn:03126105n	bn:03126105n
bn:03127474n	bn:03127474n
bn:03129496n	bn:03129496n
bn:03129529n	bn:03129529n
bn:03135552n	bn:03135552n
bn:03145501n	bn:03145501n
bn:03145784n	bn:03145784n
bn:03146614n	bn:03146614n
bn:03147230n	bn:03147230n
bn:03151419n	bn:03151419n
bn:03154030n	bn:03154030n
bn:03154908n	bn:03154908n
bn:03165110n	bn:03165110n
bn:03170635n	bn:03170635n
bn:03181527n	bn:03181527n
bn:03185064n	bn:03185064n
bn:03200212n	bn:03200212n
bn:03215168n	bn:03215168n
bn:03216881n	bn:03216881n
bn:03220755n	bn:03220755n
bn:03226811n	bn:03226811n
bn:03243620n	bn:03243620n
bn:03254621n	bn:03254621n
bn:03267629n	bn:03267629n
bn:03270782n	bn:03270782n
bn:03270883n	bn:03270883n
bn:03273925n	bn:03273925n
bn:03276514n	bn:03276514n
bn:03278993n	bn:03278993n
bn:03279015n	bn:03279015n
bn:03283925n	bn:03283925n
bn:03290235n	bn:03290235n
bn:03293041n	bn:03293041n
bn:03293789n	bn:03293789n
bn:03294819n	bn:03294819n
bn:03298619n	bn:03298619n
bn:03304688n	bn:03304688n
bn:03308056n	bn:03308056n
bn:03317510n	bn:03317510n
bn:03317585n	bn:03317585n
bn:03319818n	bn:03319818n
bn:03320810n	bn:03320810n
bn:03325359n	bn:03325359n
bn:03328232n	bn:03328232n
bn:03328551n	bn:03328551n
bn:03330469n	bn:03330469n
bn:03341503n	bn:03341503n
bn:03344256n	bn:03344256n
bn:03345011n	bn:03345011n
bn:03345614n	bn:03345614n
bn:03346691n	bn:03346691n
bn:03348117n	bn:03348117n
bn:03348158n	bn:03348158n
bn:03354978n	bn:03354978n
bn:03356652n	bn:03356652n
bn:03358240n	bn:03358240n
bn:03360018n	bn:03360018n
bn:03361663n	bn:03361663n
bn:03363049n	bn:03363049n
bn:03364474n	bn:03364474n
bn:03364827n	bn:03364827n
bn:03375612n	bn:03375612n
bn:03378488n	bn:03378488n
bn:03379778n	bn:03379778n
bn:03379801n	bn:03379801n
bn:03379816n	bn:03379816n
bn:03379870n	bn:03379870n
bn:03379927n	bn:03379927n
bn:03381585n	bn:03381585n
bn:03386188n	bn:03386188n
bn:03391455n	bn:03391455n
bn:03391703n	bn:03391703n
bn:03393747n	bn:03393747n
bn:03395186n	bn:03395186n
bn:03398023n	bn:03398023n
bn:03401292n	bn:03401292n
bn:03402796n	bn:03402796n
bn:03404060n	bn:03404060n
bn:03419288n	bn:03419288n
bn:03423255n	bn:03423255n
bn:03426820n	bn:03426820n
bn:03428786n	bn:03428786n
bn:03430194n	bn:03430194n
bn:03444345n	bn:03444345n
bn:03449916n	bn:03449916n
bn:03451779n	bn:03451779n
bn:03460798n	bn:03460798n
bn:03467298n	bn:03467298n
bn:03470085n	bn:03470085n
bn:03470520n	bn:03470520n
bn:03470570n	bn:03470570n
bn:03475525n	bn:03475525n
bn:03476074n	bn:03476074n
bn:03476105n	bn:03476105n
bn:03480590n	bn:03480590n
bn:03483846n	bn:03483846n
bn:03491693n	bn:03491693n
bn:03497857n	bn:03497857n
bn:03499387n	bn:03499387n
bn:03500389n	bn:03500389n
bn:03502032n	bn:03502032n
bn:03505442n	bn:03505442n
bn:03509428n	bn:03509428n
bn:03510524n	bn:03510524n
bn:03510827n	bn:03510827n
bn:03517902n	bn:03517902n
bn:03529514n	bn:03529514n
bn:03533442n	bn:03533442n
bn:03541269n	bn:03541269n
bn:03547632n	bn:03547632n
bn:03547739n	bn:03547739n
bn:03548464n	bn:03548464n
bn:03548966n	bn:03548966n
bn:03552225n	bn:03552225n
bn:03553733n	bn:03553733n
bn:03553793n	bn:03553793n
bn:03555133n	bn:03555133n
bn:03556109n	bn:03556109n
bn:03558672n	bn:03558672n
bn:03558769n	bn:03558769n
bn:03568519n	bn:03568519n
bn:03570637n	bn:03570637n
bn:03589517n	bn:03589517n
bn:03608147n	bn:03608147n
bn:03627372n	bn:03627372n
bn:03628663n	bn:03628663n
bn:03628700n	bn:03628700n
bn:03639480n	bn:03639480n
bn:03646623n	bn:03646623n
bn:03651675n	bn:03651675n
bn:03663937n	bn:03663937n
bn:03681828n	bn:03681828n
bn:03683977n	bn:03683977n
bn:03686085n	bn:03686085n
bn:03702312n	bn:03702312n
bn:03707756n	bn:03707756n
bn:03718214n	bn:03718214n
bn:03722546n	bn:03722546n
bn:03722657n	bn:03722657n
bn:03723158n	bn:03723158n
bn:03737642n	bn:03737642n
bn:03749162n	bn:03749162n
bn:03757161n	bn:03757161n
bn:03757447n	bn:03757447n
bn:03764533n	bn:03764533n
bn:03766119n	bn:03766119n
bn:03781797n	bn:03781797n
bn:03789327n	bn:03789327n
bn:03794129n	bn:03794129n
bn:03794744n	bn:03794744n
bn:03807558n	bn:03807558n
bn:03822523n	bn:03822523n
bn:03828834n	bn:03828834n
bn:03829965n	bn:03829965n
bn:03830122n	bn:03830122n
bn:03831124n	bn:03831124n
bn:03834454n	bn:03834454n
bn:03837086n	bn:03837086n
bn:03844959n	bn:03844959n
bn:03848975n	bn:03848975n
bn:03848997n	bn:03848997n
bn:03882986n	bn:03882986n
bn:03965843n	bn:03965843n
bn:04719857n	bn:04719857n
bn:04729821n	bn:04729821n
bn:04733021n	bn:04733021n
bn:04733668n	bn:04733668n
bn:04733735n	bn:04733735n
bn:04751367n	bn:04751367n
bn:04751515n	bn:04751515n
bn:04767152n	bn:04767152n
bn:04813363n	bn:04813363n
bn:04835674n	bn:04835674n
bn:04863562n	bn:04863562n
bn:04863898n	bn:04863898n
bn:04864329n	bn:04864329n
bn:04932233n	bn:04932233n
bn:09412775n	bn:09412775n
bn:09880113n	bn:09880113n
bn:13945246n	bn:13945246n
bn:13973048n	bn:13973048n
bn:13989093n	bn:13989093n
bn:14147280n	bn:14147280n
bn:14166581n	bn:14166581n
bn:14166827n	bn:14166827n
bn:14294009n	bn:14294009n
bn:14648969n	bn:14648969n
bn:14698393n	bn:14698393n
bn:14778988n	bn:14778988n
bn:14798352n	bn:14798352n
bn:14826310n	bn:14826310n
bn:14899769n	bn:14899769n
bn:15182425n	bn:15182425n
bn:15216374n	bn:15216374n
bn:15443625n	bn:15443625n
bn:15725262n	bn:15725262n
bn:15725441n	bn:15725441n
bn:15760869n	bn:15760869n
bn:15774757n	bn:15774757n
bn:15976990n	bn:15976990n
bn:16086697n	bn:16086697n
bn:16343432n	bn:16343432n
bn:16419217n	bn:16419217n
bn:16449251n	bn:16449251n
bn:16538954n	bn:16538954n
bn:16579974n	bn:16579974n
bn:16905440n	bn:16905440n
bn:17023189n	bn:17023189n
bn:17073083n	bn:17073083n
bn:17083447n	bn:17083447n
bn:17137899n	bn:17137899n
bn:17211961n	bn:17211961n
bn:17220787n	bn:17220787n
bn:17236496n	bn:17236496n
bn:17250324n	bn:17250324n
bn:17351812n	bn:17351812n
bn:17381930n	bn:17381930n
bn:17816718n	bn:17816718n
bn:17824162n	bn:17824162n
bn:17825462n	bn:17825462n
bn:17827959n	bn:17827959n
bn:21324948n	bn:21324948n
bn:00000459n	bn:00000459n
bn:00006196n	bn:00006196n
bn:00012212n	bn:00012212n
bn:00021845n	bn:00021845n
bn:00026161n	bn:00026161n
bn:00028609n	bn:00028609n
bn:00035324n	bn:00035324n
bn:00041414n	bn:00041414n
bn:00045282n	bn:00045282n
bn:00048162n	bn:00048162n
bn:00050906n	bn:00050906n
bn:00059588n	bn:00059588n
bn:00061617n	bn:00061617n
bn:00064143n	bn:00064143n
bn:00195063n	bn:00195063n
bn:00203561n	bn:00203561n
bn:00491190n	bn:00491190n
bn:00763598n	bn:00763598n
bn:00811591n	bn:00811591n
bn:00875231n	bn:00875231n
bn:01351508n	bn:01351508n
bn:01961410n	bn:01961410n
bn:02026250n	bn:02026250n
bn:02819371n	bn:02819371n
bn:02833502n	bn:02833502n
bn:02838468n	bn:02838468n
bn:02842276n	bn:02842276n
bn:02854319n	bn:02854319n
bn:02854672n	bn:02854672n
bn:02858894n	bn:02858894n
bn:02892414n	bn:02892414n
bn:02894936n	bn:02894936n
bn:03316038n	bn:03316038n
bn:03460463n	bn:03460463n
bn:03805161n	bn:03805161n
bn:03888280n	bn:03888280n
bn:03929387n	bn:03929387n
bn:03931194n	bn:03931194n
bn:03931930n	bn:03931930n
bn:04657305n	bn:04657305n
