bn:08497137n	The_IEC_Dictionary_of_the_Catalan_Language
bn:08531379n	bn:08531379n
bn:08552860n	bn:08552860n
bn:13965481n	half-plane
bn:15205892n	bn:15205892n
bn:16081601n	bn:16081601n
bn:21706224n	line_segment
bn:00000146n	A#n#6
bn:00000630n	acceleration#n#3
bn:00001136n	action#n#10
bn:00004190n	angular_acceleration#n#1
bn:00004193n	angular_momentum#n#1
bn:00005513n	area#n#1
bn:00007529n	axiom#n#2
bn:00008051n	symmetry#n#1
bn:00012213n	perimeter#n#1
bn:00012417n	edge#n#2
bn:00017102n	square_metre#n#1
bn:00017123n	midpoint#n#1
bn:00018744n	chord#n#1
bn:00019572n	classical_mechanics#n#1
bn:00021691n	cone#n#2
bn:00021856n	conic_section#n#1
bn:00022036n	constant_of_proportionality#n#1
bn:00023436n	hertz#n#1
bn:00024258n	cube#n#1
bn:00024278n	cuboid#n#1
bn:00024779n	cylinder#n#1
bn:00025928n	definition#n#1
bn:00026849n	rhombus#n#1
bn:00030401n	Greece#n#1
bn:00030406n	ellipse#n#1
bn:00030407n	ellipsoid#n#1
bn:00030820n	energy#n#1
bn:00033758n	speed#n#2
bn:00035768n	force#n#2
bn:00036107n	square#n#1
bn:00036471n	frequency#n#1
bn:00040680n	Global_Positioning_System#n#1
bn:00043544n	height#n#1
bn:00043960n	hexagon#n#1
bn:00045483n	hyperbola#n#1
bn:00045485n	hyperboloid#n#1
bn:00045806n	Platonic_solid#n#1
bn:00046200n	impulse#n#6
bn:00047216n	intersection#n#3
bn:00047670n	isosceles_triangle#n#1
bn:00047776n	joule#n#1
bn:00048131n	jerk#n#3
bn:00049021n	kilogram#n#1
bn:00052757n	magnitude#n#1
bn:00053662n	mass#n#1
bn:00053828n	mathematical_proof#n#1
bn:00053834n	mathematician#n#1
bn:00055264n	mirror_image#n#1
bn:00055600n	moment_of_inertia#n#1
bn:00055604n	momentum#n#2
bn:00056686n	newton#n#2
bn:00058596n	octahedron#n#1
bn:00060529n	parabola#n#1
bn:00060532n	paraboloid#n#1
bn:00060575n	parallelepiped#n#1
bn:00061420n	pentagon#n#3
bn:00061979n	philosopher#n#1
bn:00063941n	power#n#2
bn:00064464n	prism#n#1
bn:00064775n	proportionality#n#1
bn:00065404n	pyramid#n#1
bn:00065507n	quadric#n#1
bn:00066608n	rectangle#n#1
bn:00068672n	second#n#1
bn:00070710n	set_square#n#1
bn:00071436n	side#n#7
bn:00073258n	velocity#n#1
bn:00073314n	spherical_geometry#n#1
bn:00074513n	straightedge#n#1
bn:00076703n	tetrahedron#n#1
bn:00077270n	time#n#5
bn:00077679n	torque#n#1
bn:00078081n	trapezoid#n#1
bn:00080092n	viscosity#n#1
bn:00080229n	volume#n#1
bn:00080293n	watt#n#1
bn:00080831n	weight#n#1
bn:00081569n	work#n#5
bn:00263007n	spherical_cap
bn:00558380n	bopomofo
bn:00706632n	If_and_only_if
bn:00845677n	ball_(mathematics)
bn:01096621n	antiprism
bn:01163587n	Arc_length
bn:01333956n	Chi_(unit)
bn:01442283n	newton_metre
bn:01614912n	Spherical_segment
bn:01678851n	Pinyin
bn:02008576n	Kinnara
bn:02961428n	perpendicular_bisector
bn:03087968n	Neusis_construction
bn:03132601n	circular_segment
bn:03218010n	Radian_per_second
bn:03284816n	Prime_meridian
bn:03507413n	Angular_displacement
bn:03513872n	Ancient_Greece
bn:03523556n	metre_per_second
bn:03611653n	Metre_per_second_squared
bn:03743418n	Displacement_(vector)
bn:07509319n	bn:07509319n
bn:07517900n	bn:07517900n
bn:07517901n	bn:07517901n
bn:07519609n	bn:07519609n
bn:07531045n	bn:07531045n
bn:07540417n	bn:07540417n
bn:07620547n	bn:07620547n
bn:07711971n	bn:07711971n
bn:07724570n	bn:07724570n
